name,size,weight,quantity,address
Aquafina 350,0.1801625,11,3,"3-3C Ba Tháng Hai, P11, Q.10,Hồ Chí Minh"
Aquafina 500,0.29435,12.5,20,"15-17 Cộng Hòa, P.4, Q.Tân Bình,Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"Chung cư Bàu Cát II - Đường Vườn Lan - P.10 Q.Tân Bình,Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"231 Nguyễn Thị Định, P.Bình Trưng Tây, Q.2,Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"216 Võ Văn Ngân, phường Bình Thọ, quận Thủ Đức,Hồ Chí Minh"
Aquafina 350,0.1801625,11,19,"Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Quận 1,Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"190 đường Quang Trung, Phường 10, Gò Vấp,Hồ Chí Minh"
Aquafina 350,0.1801625,11,2,"Số A12 Phan Văn Trị, Phường 7, Quận Gò Vấp,Hồ Chí Minh"
Aquafina 500,0.29435,12.5,10,"37 Phường Thảo Điền, Quận 2, Tp. Hồ Chí Minh"
Aquafina 500,0.29435,12.5,6,"50 Lê Văn Việt P. Hiệp Phú Q.9,Hồ Chí Minh"
Aquafina 500,0.29435,12.5,3,"307 Số 307 Nguyễn Duy Trinh,P. Bình Trưng Tây, Q.2,Hồ Chí Minh"
Aquafina 350,0.1801625,11,16,"TTTM Vincom Plaza Sài Gòn Res Số188,Đường Nguyễn Xí,Phường 26,Quận Bình Thạnh,Hồ Chí Minh"
Aquafina 500,0.29435,12.5,18,"VC+ KĐT Nam Long Số 71,Trần Trọng Cung,Phường Tân Thuận Đông ,Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"Tòa nhà 81 tầng,Khu Central Park,KĐT Central Park, Q.Bình Thạnh,Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"Số 10 Đường Phổ Quang, Q. Tân Bình,Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"523A Đỗ Xuân Hợp, phường Phước Long B,quận 09,Tp. Hồ Chí Minh"
