name,size,weight,quantity,address
Aquafina 350,0.1801625,11,3,"217A Long Phước, Phường Long Phước, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,20,"54 Đường 339, Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"50 đường 297, KP 4, Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"1443 Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"D1 đường 672, Khu phố 1, phường Phước Long B, quận 9, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,19,"40A đường 147, Phường Phước Long B, Quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"37 đường 385, phường Tăng Nhơn Phú A, Quận 9,Thành phố Hồ chí Minh"
Aquafina 350,0.1801625,11,2,"72 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,10,"22 Lê Lợi, Phường Hiệp Phú, Quận 9, thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,6,"34 Nam Cao, Phường Tân Phú, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,3,"355A Đỗ Xuân Hợp, KP5, Phường Phước Long B, Quận 9, TPHCM"
Aquafina 350,0.1801625,11,16,"97 Lò Lu, Khu Phố Phước Hiệp, Phường Trường Thạnh, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,18,"411 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"77A Dương Đình Hội, Phường Phước Long B , Quận 9 , TP. HCM"
Aquafina 350,0.1801625,11,10,"206 Đình Phong Phú, KP3, Phường Tăng Nhơn Phú B, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"89 Đình Phong Phú, Phường Tăng Nhơn Phú, Quận 9, thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"909 Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, TP. HCM"
Aquafina 500,0.29435,12.5,12,"241A- 243 Lê Văn Việt , Phường Hiệp Phú, Quận 9, TP. HCM"
Aquafina 350,0.1801625,11,13,"Số 04 - A13 Đường D7, Khu phố 6, phường Tăng nhơn Phú B, Quận 9, TP. HCM"
Aquafina 350,0.1801625,11,18,"17 Đường Làng Tăng Phú, Khu Phố 4, Phường Tăng Nhơn Phú A, Quận 9 , TP. HCM"
Aquafina 350,0.1801625,11,10,"199 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9 , thành phố Hồ Chí Minh"
